municipality_code,municipality_name,period,gdp_current_brl_thousand
1718840,Sandolândia - TO,2021,116736.092
1718865,Santa Fé do Araguaia - TO,2021,175926.902
1718881,Santa Maria do Tocantins - TO,2021,139630.247
1718899,Santa Rita do Tocantins - TO,2021,180272.582
1718907,Santa Rosa do Tocantins - TO,2021,307685.016
1719004,Santa Tereza do Tocantins - TO,2021,48098.437
1720002,Santa Terezinha do Tocantins - TO,2021,41930.976
1720101,São Bento do Tocantins - TO,2021,73589.547
1720150,São Félix do Tocantins - TO,2021,36540.734
1720200,São Miguel do Tocantins - TO,2021,255814.091
1720259,São Salvador do Tocantins - TO,2021,49467.49
1720309,São Sebastião do Tocantins - TO,2021,61804.374
1720499,São Valério - TO,2021,156734.117
1720655,Silvanópolis - TO,2021,240328.58
1720804,Sítio Novo do Tocantins - TO,2021,132861.998
1720853,Sucupira - TO,2021,532373.973
1720903,Taguatinga - TO,2021,318252.681
1720937,Taipas do Tocantins - TO,2021,35246.269
1720978,Talismã - TO,2021,146707.973
1721000,Palmas - TO,2021,10333418.524
1721109,Tocantínia - TO,2021,191372.85
1721208,Tocantinópolis - TO,2021,372641.872
1721257,Tupirama - TO,2021,118838.583
1721307,Tupiratins - TO,2021,38618.565
1722081,Wanderlândia - TO,2021,183424.384
1722107,Xambioá - TO,2021,471019.831
2100055,Açailândia - MA,2021,3828533.21
2100105,Afonso Cunha - MA,2021,85052.498
2100154,Água Doce do Maranhão - MA,2021,101642.077
2100204,Alcântara - MA,2021,148762.762
2100303,Aldeias Altas - MA,2021,249395.852
2100402,Altamira do Maranhão - MA,2021,71511.632
2100436,Alto Alegre do Maranhão - MA,2021,303118.129
2100477,Alto Alegre do Pindaré - MA,2021,251719.288
2100501,Alto Parnaíba - MA,2021,578961.339
2100550,Amapá do Maranhão - MA,2021,70197.682
2100600,Amarante do Maranhão - MA,2021,388636.419
2100709,Anajatuba - MA,2021,207605.731
2100808,Anapurus - MA,2021,149102.029
2100832,Apicum-Açu - MA,2021,133945.537
2100873,Araguanã - MA,2021,101727.947
2100907,Araioses - MA,2021,282769.228
2100956,Arame - MA,2021,290314.787
2101004,Arari - MA,2021,313250.593
2101103,Axixá - MA,2021,97421.795
2101202,Bacabal - MA,2021,1514560.008
2101251,Bacabeira - MA,2021,599285.019
2101301,Bacuri - MA,2021,122871.925
2101350,Bacurituba - MA,2021,39589.506
2101400,Balsas - MA,2021,6307425.073
2101509,Barão de Grajaú - MA,2021,268537.563
2101608,Barra do Corda - MA,2021,889190.327
2101707,Barreirinhas - MA,2021,635710.802
2101731,Belágua - MA,2021,60711.249
2101772,Bela Vista do Maranhão - MA,2021,107543.326
2101806,Benedito Leite - MA,2021,73150.44
2101905,Bequimão - MA,2021,138113.77
2101939,Bernardo do Mearim - MA,2021,105113.91
2101970,Boa Vista do Gurupi - MA,2021,67539.702
2102002,Bom Jardim - MA,2021,411352.418
2102036,Bom Jesus das Selvas - MA,2021,375664.921
2102077,Bom Lugar - MA,2021,117960.369
2102101,Brejo - MA,2021,328632.852
2102150,Brejo de Areia - MA,2021,71065.21
2102200,Buriti - MA,2021,277919.133
2102309,Buriti Bravo - MA,2021,238672.773
2102325,Buriticupu - MA,2021,748027.721
2102358,Buritirana - MA,2021,122473.899
2102374,Cachoeira Grande - MA,2021,60974.116
2102408,Cajapió - MA,2021,70652.873
2102507,Cajari - MA,2021,128078.075
2102556,Campestre do Maranhão - MA,2021,214010.605
2102606,Cândido Mendes - MA,2021,146787.805
2102705,Cantanhede - MA,2021,153397.808
2102754,Capinzal do Norte - MA,2021,283975.692
2102804,Carolina - MA,2021,525892.578
2102903,Carutapera - MA,2021,201999.206
2103000,Caxias - MA,2021,2112637.89
2103109,Cedral - MA,2021,78582.879
2103125,Central do Maranhão - MA,2021,58346.703
2103158,Centro do Guilherme - MA,2021,103736.564
2103174,Centro Novo do Maranhão - MA,2021,200757.406
2103208,Chapadinha - MA,2021,894365.951
2103257,Cidelândia - MA,2021,183560.405
2103307,Codó - MA,2021,1648585.109
2103406,Coelho Neto - MA,2021,465858.626
2103505,Colinas - MA,2021,553170.588
2103554,Conceição do Lago-Açu - MA,2021,147189.243
2103604,Coroatá - MA,2021,533579.335
2103703,Cururupu - MA,2021,264535.777
2103752,Davinópolis - MA,2021,190192.706
2103802,Dom Pedro - MA,2021,262555.351
2103901,Duque Bacelar - MA,2021,86904.202
2104008,Esperantinópolis - MA,2021,158978.373
2104057,Estreito - MA,2021,1134820.533
2104073,Feira Nova do Maranhão - MA,2021,118003.876
2104081,Fernando Falcão - MA,2021,100418.061
2104099,Formosa da Serra Negra - MA,2021,202148.62
2104107,Fortaleza dos Nogueiras - MA,2021,346694.983
2104206,Fortuna - MA,2021,143296.795
2104305,Godofredo Viana - MA,2021,2658688.345
2104404,Gonçalves Dias - MA,2021,150061.001
2104503,Governador Archer - MA,2021,91903.887
2104552,Governador Edison Lobão - MA,2021,374987.809
2104602,Governador Eugênio Barros - MA,2021,118425.6
2104628,Governador Luiz Rocha - MA,2021,71079.852
2104651,Governador Newton Bello - MA,2021,84172.36
2104677,Governador Nunes Freire - MA,2021,257971.907
2104701,Graça Aranha - MA,2021,54153.365
2104800,Grajaú - MA,2021,1149732.869
2104909,Guimarães - MA,2021,93392.793
2105005,Humberto de Campos - MA,2021,184362.771
2105104,Icatu - MA,2021,178922.63
2105153,Igarapé do Meio - MA,2021,370652.705
2105203,Igarapé Grande - MA,2021,117728.23
2105302,Imperatriz - MA,2021,7692904.278
2105351,Itaipava do Grajaú - MA,2021,107284.679
2105401,Itapecuru Mirim - MA,2021,772829.967
2105427,Itinga do Maranhão - MA,2021,489226.068
2105450,Jatobá - MA,2021,75688.79
2105476,Jenipapo dos Vieiras - MA,2021,125732.557
2105500,João Lisboa - MA,2021,270611.479
2105609,Joselândia - MA,2021,116543.145
2105658,Junco do Maranhão - MA,2021,61700.601
2105708,Lago da Pedra - MA,2021,550403.924
2105807,Lago do Junco - MA,2021,86637.572
2105906,Lago Verde - MA,2021,135733.252
2105922,Lagoa do Mato - MA,2021,97006.456
2105948,Lago dos Rodrigues - MA,2021,83982.764
2105963,Lagoa Grande do Maranhão - MA,2021,102431.987
2105989,Lajeado Novo - MA,2021,101466.928
2106003,Lima Campos - MA,2021,274539.037
2106102,Loreto - MA,2021,413263.406
2106201,Luís Domingues - MA,2021,57337.332
2106300,Magalhães de Almeida - MA,2021,140962.081
2106326,Maracaçumé - MA,2021,208573.877
2106359,Marajá do Sena - MA,2021,90804.107
2106375,Maranhãozinho - MA,2021,120910.354
2106409,Mata Roma - MA,2021,179196.345
2106508,Matinha - MA,2021,196744.111
2106607,Matões - MA,2021,256347.164
2106631,Matões do Norte - MA,2021,99314.557
2106672,Milagres do Maranhão - MA,2021,64341.207
2106706,Mirador - MA,2021,277810.662
2106755,Miranda do Norte - MA,2021,788579.989
2106805,Mirinzal - MA,2021,112050.444
2106904,Monção - MA,2021,257635.203
2107001,Montes Altos - MA,2021,86487.258
2107100,Morros - MA,2021,149899.343
2107209,Nina Rodrigues - MA,2021,88512.809
2107258,Nova Colinas - MA,2021,86427.055
2107308,Nova Iorque - MA,2021,50965.811
2107357,Nova Olinda do Maranhão - MA,2021,183142.239
2107407,Olho d'Água das Cunhãs - MA,2021,188362.519
2107456,Olinda Nova do Maranhão - MA,2021,107282.239
2107506,Paço do Lumiar - MA,2021,1240349.364
2107605,Palmeirândia - MA,2021,139099.184
2107704,Paraibano - MA,2021,183352.52
2107803,Parnarama - MA,2021,322943.454
2107902,Passagem Franca - MA,2021,200087.597
2108009,Pastos Bons - MA,2021,309498.551
2108058,Paulino Neves - MA,2021,118325.815
2108108,Paulo Ramos - MA,2021,194140.237
2108207,Pedreiras - MA,2021,787659.914
2108256,Pedro do Rosário - MA,2021,157862.958
2108306,Penalva - MA,2021,253736.401
2108405,Peri Mirim - MA,2021,95935.716
2108454,Peritoró - MA,2021,230427.47
2108504,Pindaré-Mirim - MA,2021,296184.232
2108603,Pinheiro - MA,2021,1039933.211
2108702,Pio XII - MA,2021,191327.123
2108801,Pirapemas - MA,2021,130764.31
